Join Name With Year,index,Name With Year,Previous Year Games Played,Previous Year Games Started,Previous Year Minutes Per Game,Previous Year Field Goals Per Game,Previous Year Field Goal Attempts Per Game,Previous Year Field Goal Percentage,Previous Year 3 Point Field Goals Per Game,Previous Year 3 Point Field Goal Attempts Per Game,Previous Year 3 Point Field Goal Percentage,Previous Year 2 Point Field Goals Per Game,Previous Year 2 Point Field Goal Attempts Per Game,Previous Year 2 Point Field Goal Percentage,Previous Year Effective Field Goal Percentage,Previous Year Free Throw Makes Per Game,Previous Year Free Throw Attempts Per Game,Previous Year Free Throw Percentage,Previous Year Offensive Rebounds Per Game,Previous Year Defensive Rebounds Per Game,Previous Year Total Rebounds Per Game,Previous Year Assists Per Game,Previous Year Steals Per Game,Previous Year Blocks Per Game,Previous Year Turnovers Per Game,Previous Year Personal Fouls Per Game,Previous Year Points Per Game,Previous Year Team,Previous Year Playoff Team,Previous Year Semifinal Team,Previous Year Final Team,Previous Year Bottom 6 Team,Previous Year Total Minutes Played,Previous Year Player Efficiency Rating,Previous Year True Shooting Percentage,Previous Year 3 Point Attempt Rate,Previous Year Free Throw Attempt Rate,Previous Year Offensive Rebound Percentage,Previous Year Defensive Rebound Percentage,Previous Year Total Rebound Percentage,Previous Year Assist Percentage,Previous Year Steal Percentage,Previous Year Block Percentage,Previous Year Turnover Percentage,Previous Year Usage Percentage,Previous Year Offensive Win Shares,Previous Year Defensive Win Shares,Previous Year Win Shares,Previous Year Win Shares Per 48 Minutes,Previous Year Offensive Box Plus/Minus,Previous Year Defensive Box Plus/Minus,Previous Year Box Plus/Minus,Previous Year Value Over Replacement Player,Previous Year Salary,Age,Years In League,Salary Cap,Luxury Tax Line,Position,Previous Year Team With Year,Previous Year Total Team Payroll,Salary Sums,Team Cap Space,Total NBA Cap Space,Target Salary,Target Salary Percentage Cap,Target Salary Percentage Luxury,Maximum Salary,Name.x,Year.x,Date,Team,Name,Notes,Tears,Year,Achilles,ACL,Meniscus,Meniscus Sum,Achilles Sum,ACL Sum,Tear Sum,Meniscus/Achilles/ACL Sum
2010 Drew Gooden,21,2009-10 Drew Gooden,51.0,28.0,24.8,4.6,9.9,0.468,0.0,0.1,0.0,0.0,0.1,0.0,0.468,2.6,3.1,0.84,2.2,4.9,7.1,0.9,0.6,0.4,1.5,2.8,11.9,SAS,1,0,0,0,320.0,18.8,0.55,0.006999999999999999,0.393,10.6,20.2,15.5,1.7,0.7,0.9,8.6,28.2,0.5,0.5,0.9,0.139,-3.3,-4.2,-7.5,-0.4,7151183.0,27.0,7.0,57700000,69920000,PF,2008-09 SAS,68020487.0,11102274.0,56918213.0,4634507665.0,4500000.0,0.0779896013864818,0.06435926773455378,16224600,Drew Gooden,2010,,,,,,,,,,,,,,
2010 Earl Watson,34,2009-10 Earl Watson,68.0,18.0,26.1,2.6,6.7,0.384,0.3,1.3,0.235,0.3,1.3,0.235,0.406,1.2,1.6,0.755,0.5,2.2,2.7,5.8,0.7,0.2,2.3,2.0,6.6,OKC,0,0,0,1,1776.0,9.5,0.448,0.188,0.234,2.3,9.7,5.9,33.4,1.4,0.5,23.8,16.3,-1.2,1.1,-0.2,-0.005,-3.4,-1.7,-5.0,-1.4,6200000.0,29.0,8.0,57700000,69920000,PG,2008-09 OKC,68341605.0,11500000.0,56841605.0,4634507665.0,2800000.0,0.04852686308492201,0.04004576659038902,16224600,Earl Watson,2010,,,,,,,,,,,,,,
2010 Fabricio Oberto,59,2009-10 Fabricio Oberto,54.0,11.0,12.5,1.1,1.9,0.5870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5870000000000001,0.4,0.6,0.5710000000000001,1.2,1.4,2.6,1.1,0.1,0.2,0.7,1.8,2.6,SAS,1,0,0,0,677.0,10.6,0.595,0.01,0.337,11.6,13.4,12.5,12.9,0.6,1.2,24.1,11.3,0.8,0.8,1.7,0.119,-1.7,1.6,-0.1,0.3,3600000.0,33.0,4.0,57700000,69920000,C,2008-09 SAS,68020487.0,11102274.0,56918213.0,4634507665.0,1800000.0,0.03119584055459272,0.02574370709382151,13520500,Fabricio Oberto,2010,,,,,,,,,,,,,,
2010 Glen Davis,28,2009-10 Glen Davis,76.0,16.0,21.5,2.6,5.9,0.442,0.0,0.1,0.4,0.0,0.1,0.4,0.444,1.7,2.3,0.73,1.6,2.4,4.0,0.9,0.7,0.3,0.9,3.0,7.0,BOS,1,0,0,0,1637.0,10.7,0.502,0.011,0.396,9.4,12.8,11.2,6.5,1.7,0.9,11.8,17.1,1.0,2.7,3.7,0.108,-2.1,1.1,-1.0,0.4,711517.0,23.0,2.0,57700000,69920000,PF,2008-09 BOS,79188973.0,7141298.0,72047675.0,4634507665.0,3000000.0,0.05199306759098787,0.04290617848970252,13520500,Glen Davis,2010,,,,,,,,,,,,,,
2010 Grant Hill,44,2009-10 Grant Hill,82.0,68.0,29.8,4.8,9.1,0.523,0.3,0.9,0.316,0.3,0.9,0.316,0.54,2.2,2.7,0.8079999999999999,0.8,4.2,4.9,2.3,1.1,0.7,1.5,2.2,12.0,PHO,0,0,0,0,2445.0,15.2,0.584,0.102,0.301,3.2,15.7,9.7,11.0,1.8,1.6,13.0,17.5,3.5,1.9,5.3,0.104,0.3,0.7,1.0,1.8,1976400.0,36.0,14.0,57700000,69920000,SF,2008-09 PHO,76130408.0,2903078.0,73227330.0,4634507665.0,3000000.0,0.05199306759098787,0.04290617848970252,18928700,Grant Hill,2010,,,,,,,,,,,,,,
2010 Hakim Warrick,41,2009-10 Hakim Warrick,82.0,7.0,24.7,4.1,8.5,0.491,0.1,0.3,0.217,0.1,0.3,0.217,0.494,3.2,4.6,0.711,1.6,3.4,5.0,0.8,0.6,0.5,1.2,2.1,11.6,MEM,0,0,0,0,2029.0,16.9,0.5539999999999999,0.033,0.54,7.7,17.0,12.3,5.9,1.3,1.6,10.3,22.0,3.0,1.7,4.7,0.111,-1.1,-1.4,-2.4,-0.2,2119102.0,26.0,4.0,57700000,69920000,PF,2008-09 MEM,55958148.0,4236334.0,51721814.0,4634507665.0,3000000.0,0.05199306759098787,0.04290617848970252,13520500,Hakim Warrick,2010,,,,,,,,,,,,,,
2010 Ike Diogu,54,2009-10 Ike Diogu,29.0,1.0,7.4,1.3,2.6,0.527,0.0,0.1,0.5,0.0,0.1,0.5,0.534,1.4,1.8,0.755,0.9,1.0,1.9,0.1,0.1,0.1,0.4,0.8,4.1,SAC,0,0,0,1,142.0,24.9,0.662,0.036000000000000004,0.6,11.4,20.7,16.0,4.1,0.7,0.5,7.9,23.8,0.6,0.0,0.6,0.21,1.8,-5.2,-3.4,-0.1,2912823.0,25.0,4.0,57700000,69920000,PF,2008-09 SAC,69204512.0,2912823.0,66291689.0,4634507665.0,884881.0,0.015335892547660311,0.012655620709382151,13520500,Ike Diogu,2010,,,,,,,,,,,,,,
2010 Jamaal Magloire,46,2009-10 Jamaal Magloire,55.0,12.0,12.9,1.2,2.4,0.496,0.0,0.0,,0.0,0.0,,0.496,0.5,1.1,0.483,1.5,2.5,4.0,0.4,0.2,0.5,0.6,2.2,2.9,MIA,1,0,0,0,709.0,10.6,0.505,0.0,0.458,13.7,23.8,18.7,4.6,0.8,2.9,16.9,12.5,0.4,0.9,1.3,0.08900000000000001,-4.1,0.6,-3.4,-0.3,1141838.0,30.0,9.0,57700000,69920000,C,2008-09 MIA,70297059.0,4527250.0,65769809.0,4634507665.0,1229225.0,0.02130372616984402,0.01758044908466819,16224600,Jamaal Magloire,2010,,,,,,,,,,,,,,
2010 Jamario Moon,52,2009-10 Jamario Moon,80.0,60.0,25.9,2.8,5.9,0.468,0.8,2.3,0.355,0.8,2.3,0.355,0.537,0.9,1.0,0.85,0.7,3.8,4.6,1.2,1.1,0.8,0.5,1.7,7.2,MIA,1,0,0,0,689.0,11.6,0.562,0.465,0.096,1.7,18.6,10.1,5.5,1.6,1.9,6.8,12.0,0.6,0.8,1.5,0.103,-1.6,1.0,-0.7,0.2,711517.0,28.0,2.0,57700000,69920000,SF,2008-09 MIA,70297059.0,4527250.0,65769809.0,4634507665.0,2750000.0,0.047660311958405546,0.03933066361556064,13520500,Jamario Moon,2010,,,,,,,,,,,,,,
2010 James Singleton,51,2009-10 James Singleton,62.0,6.0,14.3,1.9,3.6,0.529,0.2,0.6,0.325,0.2,0.6,0.325,0.5589999999999999,1.1,1.3,0.8590000000000001,1.4,2.6,4.0,0.3,0.4,0.5,0.6,1.8,5.1,DAL,1,0,0,0,884.0,16.4,0.615,0.181,0.353,11.7,20.7,16.2,2.9,1.5,2.3,12.4,15.1,1.9,1.1,3.0,0.163,-0.3,-0.2,-0.4,0.4,826269.0,27.0,3.0,57700000,69920000,PF,2008-09 DAL,95045559.0,23997119.0,71048440.0,4634507665.0,1030189.0,0.0178542287694974,0.014733824370709383,13520500,James Singleton,2010,,,,,,,,,,,,,,
