,2017-2018 Contract,2018-2019 Contract,2019-2020 Contract,2020-2021 Contract,2021-2022 Contract,2022-2023 Contract,Contract Type,Name,Remaining Guaranteed,Team
202,"$5,000,000","$5,000,000",,,,,Cap space,Mike Muscala,"$5,000,000",ATL
203,"$4,995,120",,,,,,1st round pick,Jahlil Okafor,"$4,995,120",BRK
204,"$4,992,385",,,,,,1st Round Pick,Dante Exum,"$4,992,385",UTA
205,"$4,961,798","$5,285,394",,,,,Early Bird Rights,Alexis Ajinca,"$10,247,192",NOP
206,"$4,956,480","$5,169,960","$6,534,829",,,,1st Rd pick,Jaylen Brown,"$10,126,440",BOS
207,"$4,736,050",,,,,,,Jameer Nelson,"$4,736,050",DEN
208,"$4,666,500","$4,996,000","$5,333,500",,,,Bird Rights,Kyle Singler,"$9,662,500",OKC
209,"$4,615,385","$4,384,616",,,,,MLE,Justin Holiday,"$9,000,001",CHI
210,"$4,609,200","$5,407,920","$6,392,760","$8,099,627",,,1st Round Pick,De'Aaron Fox,"$10,017,120",SAC
211,"$4,538,020",,,,,,1st Round Pick,Marcus Smart,"$4,538,020",BOS
212,"$4,503,600","$5,697,054",,,,,1st round pick,Kristaps Porzingis,"$10,200,654",NYK
213,"$4,468,800","$4,661,280","$5,896,519",,,,1st Round pick,Dragan Bender,"$9,130,080",PHO
214,"$4,402,546",,,,,,Cap Space,Devin Harris,"$4,402,546",DEN
215,"$4,328,000","$4,544,400",,,,,Room Exception,Ron Baker,"$8,872,400",NYK
216,"$4,328,000",,,,,,,Jamal Crawford,"$4,328,000",MIN
217,"$4,328,000",,,,,,Room Exception,Aron Baynes,"$4,328,000",BOS
218,"$4,187,599",,,,,,1st Round Pick,Alex Len,"$4,187,599",PHO
219,"$4,187,599",,,,,,1st Round Pick,Nerlens Noel,"$4,187,599",DAL
220,"$4,186,320","$4,969,080","$5,806,440","$7,362,566",,,1st Round Pick,Jonathan Isaac,"$9,155,400",ORL
221,"$4,180,000","$4,360,000",,,,,Cap space,Lance Stephenson,"$4,180,000",IND
222,"$4,149,242",,,,,,1st Round Pick,Julius Randle,"$4,149,242",LAL
223,"$4,087,500","$4,256,250",,,,,Bird Rights,Kyle O'Quinn,"$4,087,500",NYK
224,"$4,078,320",,,,,,1st round pick,Mario Hezonja,"$4,078,320",ORL
225,"$4,046,760","$4,221,000","$5,348,007",,,,1st Round pick,Kris Dunn,"$8,267,760",CHI
226,"$4,000,000","$4,200,000",,,,,Cap space,Jonas Jerebko,"$4,000,000",UTA
227,"$3,949,999",,,,,,MLE,Nemanja Bjelica,"$3,949,999",MIN
228,"$3,903,900","$3,710,850",,,,,Cap Space,J.J. Barea,"$7,614,750",DAL
229,"$3,853,931",,,,,,,Quincy Pondexter,"$3,853,931",CHI
230,"$3,821,640","$4,536,120","$5,300,400","$6,731,508",,,1st Round Pick,Lauri Markkanen,"$8,357,760",CHI
231,"$3,807,146",,,,,,1st Round Pick,Nik Stauskas,"$3,807,146",BRK
232,"$3,704,160","$4,696,875",,,,,1st round pick,Willie Cauley-Stein,"$8,401,035",SAC
233,"$3,675,480","$3,833,760","$4,861,208",,,,1st Round pick,Buddy Hield,"$7,509,240",SAC
234,"$3,533,333",,,,,,Bird Rights,Will Barton,"$3,533,333",DEN
235,"$3,505,233",,,,,,1st Round Pick,Noah Vonleh,"$3,505,233",CHI
236,"$3,501,120","$4,155,720","$4,855,800","$6,176,578",,,1st Round Pick,Frank Ntilikina,"$7,656,840",NYK
237,"$3,477,600","$3,651,480","$3,825,360",,,,Non-Bird Rights,Nene Hilario,"$10,954,440",HOU
238,"$3,477,600",,,,,,,Zaza Pachulia,"$3,477,600",GSW
239,"$3,408,520","$3,258,540",,,,,Cap Space,Troy Daniels,"$6,667,060",PHO
240,"$3,381,480","$4,294,480",,,,,1st round pick,Emmanuel Mudiay,"$7,675,960",NYK
241,"$3,355,320","$3,499,800","$4,444,746",,,,1st Round pick,Jamal Murray,"$6,855,120",DEN
242,"$3,332,340",,,,,,1st Round Pick,Elfrid Payton,"$3,332,340",PHO
243,"$3,300,000",,,,,,MLE,Rajon Rondo,"$3,300,000",NOP
244,"$3,294,994",,,,,,1st Round Pick,Doug McDermott,"$3,294,994",DAL
245,"$3,290,000","$3,454,500",,,,,Bi-annual Exception,Jodie Meeks,"$6,744,500",WAS
246,"$3,290,000",,,,,,Bi-annual Exception,Tyreke Evans,"$3,290,000",MEM
247,"$3,290,000",,,,,,Bi-annual Exception,Tarik Black,"$3,290,000",HOU
248,"$3,290,000",,,,,,Bi-annual Exception,Anthony Tolliver,"$3,290,000",DET
249,"$3,218,280","$3,819,960","$4,463,640","$5,686,677",,,1st Round Pick,Dennis Smith,"$7,038,240",DAL
250,"$3,202,217",,,,,,1st Round Pick,Zach LaVine,"$3,202,217",CHI
251,"$3,200,000","$3,360,000",,,,,Room Exception,Ekpe Udoh,"$3,200,000",UTA
252,"$3,152,931","$11,750,000","$10,810,000","$11,750,000","$12,690,000",,1st Round Pick,T.J. Warren,"$50,152,931",PHO
253,"$3,097,800","$3,940,402",,,,,1st round pick,Stanley Johnson,"$7,038,202",DET
254,"$3,073,800","$3,206,160","$4,078,236",,,,1st Rd pick,Marquese Chriss,"$6,279,960",PHO
255,"$3,057,240","$3,628,920","$4,240,200","$5,406,255",,,1st Round Pick,Zach Collins,"$6,686,160",POR
256,"$3,028,410",,,,,,Room exception,James Ennis,"$3,028,410",DET
257,"$3,028,410",,,,,,Room exception,Seth Curry,"$3,028,410",DAL
258,"$3,025,035",,,,,,,Mindaugas Kuzminskas,"$3,025,035",NYK
259,"$3,000,000","$3,129,187",,,,,Cap Space,Tomas Satoransky,"$6,129,187",WAS
260,"$3,000,000",,,,,,,Rajon Rondo,"$3,000,000",CHI
261,"$2,947,305",,,,,,1st Round Pick,Lucas Nogueira,"$2,947,305",TOR
262,"$2,947,305",,,,,,1st Round Pick,Jusuf Nurkic,"$2,947,305",POR
263,"$2,904,480","$3,447,480","$4,028,400","$5,345,687",,,1st Round Pick,Malik Monk,"$6,351,960",CHO
264,"$2,847,600","$3,627,842",,,,,1st round pick,Frank Kaminsky,"$6,475,442",CHO
265,"$2,844,429","$2,844,429","$2,844,429","$2,844,429","$2,844,429",,,Andrew Nicholson,"$19,911,003",POR
266,"$2,825,640","$2,947,320","$3,754,886",,,,1st Round pick,Jakob Poeltl,"$5,772,960",TOR
267,"$2,759,280","$3,275,280","$3,827,160","$5,273,826",,,1st Round Pick,Luke Kennard,"$6,034,560",DET
268,"$2,705,040","$3,448,926",,,,,1st round pick,Justise Winslow,"$6,153,966",MIA
269,"$2,700,000",,,,,,Bi-annual Exception,Michael Carter-Williams,"$2,700,000",CHO
270,"$2,684,160","$2,799,720","$3,569,643",,,,1st Round pick,Thon Maker,"$5,483,880",MIL
271,"$2,642,857","$2,775,000","$2,907,143",,,,MLE,Cedi Osman,"$8,325,000",CLE
